0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
-3	0	0	1	0	1	1	-1
-1	-5	-1	-2	1	1	-1	-1
-3	-1	6	-7	-11	-3	-3	-3
-3	-1	6	-7	-11	-3	-3	-3
0	0	-1	-4	-26	-1	-3	-2
1	1	-3	-1	-14	-2	-2	0
1	3	5	-5	14	-1	-2	1
-1	2	2	-5	-19	-4	-2	-3
0	4	-11	-27	-22	-4	-5	-1
-1	1	3	0	-17	-1	-3	0
-1	2	-1	0	-51	-1	-2	-2
-5	-4	-9	0	17	-2	-2	-3
-1	-4	0	-6	-16	-3	0	0
-1	1	-2	-5	-37	-2	0	0
0	-1	1	4	2	-2	0	-2
1	3	-3	-3	2	1	-1	2
2	-4	-1	-1	28	1	-1	-1
-1	-1	-2	-8	-14	-2	-2	-1
0	-3	-14	-6	-5	-4	-1	3
-2	-5	-3	6	7	-2	-3	-2
0	-2	1	-2	32	2	-2	0
-2	-3	-10	-32	-8	-1	-1	0
0	2	1	-4	-31	-3	-4	-2
-2	-1	0	-7	-1	-2	-7	-1
-2	2	-3	-4	-4	1	-1	-1
-1	2	0	13	23	1	-5	-5
-4	-4	-5	-20	-35	-7	-22	-7
-3	-1	3	-7	-10	-2	-3	-3
1	-1	4	1	3	1	7	-7
-6	-7	0	21	-16	-9	-10	-4
1	-4	-23	-27	14	-7	0	0
2	-2	-1	14	-9	-6	-20	5
1	0	-10	13	-22	-1	-49	-15
41	1	17	38	25	-32	4	32
6	2	1	-80	-15	26	17	-23
4	0	-4	29	-4	-50	38	39
-10	-2	-6	-63	3	31	38	-21
18	17	-21	8	42	23	27	38
62	28	4	116	44	78	74	92
2	5	-17	-19	-14	6	-60	-13
-49	-38	-9	19	-29	-122	-1	-17
-58	-36	-20	43	-42	112	-128	-96
23	4	46	44	-7	-31	-128	44
-61	-22	-28	-18	-4	73	-32	-89
32	0	10	89	23	33	-19	86
-22	-8	14	-41	-48	100	-92	-34
15	35	23	-4	15	-45	86	41
-3	-18	-65	-11	13	-9	15	-79
-1	1	23	-77	-26	-71	82	-16
-34	-2	4	13	-10	55	44	3
-14	-27	-39	-39	1	102	-31	-14
-47	-17	20	-125	-8	49	-67	-74
34	18	-13	-12	-7	-68	-22	62
57	20	-1	-40	0	-2	64	117
11	20	-42	92	43	4	43	46
-26	-1	-10	42	-15	-110	-14	3
-60	-7	61	52	10	127	-33	-48
-12	0	-35	6	0	39	59	-2
52	11	36	-13	2	-128	-9	37
24	5	-8	-24	41	-3	42	37
-26	-20	-25	-24	-22	-5	-62	-53
-33	-6	47	-14	-35	10	-41	-21
69	-6	4	-24	-12	-16	106	57
47	34	81	-46	-23	-28	-1	89
-28	2	18	9	-1	4	-115	-64
-46	-10	-24	-33	6	85	-93	-81
29	25	10	-18	-12	-40	13	6
-20	-1	47	-46	-35	-27	-39	-2
4	-11	-11	-9	-20	10	-22	14
29	7	-16	7	62	58	32	-9
43	3	0	51	4	-28	94	45
36	15	7	-30	40	35	46	46
-2	12	41	-36	-19	92	-78	-11
-8	19	9	8	1	-28	9	-72
-11	-33	-66	-77	-4	-26	-23	6
13	9	31	-24	9	62	-16	28
32	27	30	-8	0	17	31	29
-20	4	40	52	0	-29	6	-8
15	20	28	-6	-27	32	-31	26
-54	-24	-36	-35	-5	2	-97	-88
-11	-3	-34	40	-12	-6	5	-10
-3	5	0	-41	-17	-1	99	5
36	1	-15	30	-1	39	-128	9
10	6	31	-22	51	-67	127	34
85	14	10	-41	7	-61	115	105
-15	-14	-50	-9	11	-54	48	7
-42	-14	-12	27	23	-9	20	-66
24	0	1	-57	-31	15	-80	25
1	11	34	74	-23	24	-94	-6
16	-3	36	-21	12	86	-74	-12
83	31	-7	-40	-3	-56	116	82
4	9	-5	3	-6	3	45	28
-19	3	50	-25	45	33	25	-21
-9	-9	13	66	1	50	12	52
9	23	40	14	-19	-7	-10	3
19	-27	-35	-33	8	-70	31	39
-40	7	-1	20	-5	-86	-29	-77
15	2	34	-37	-22	-36	31	18
14	27	16	6	6	52	50	65
-12	13	38	37	46	63	-16	-44
3	-23	-53	-41	-60	-16	12	-9
-62	-20	-19	8	-25	-53	-39	-89
-16	-6	15	-37	-42	57	-46	-8
0	25	0	28	-32	-5	24	-7
65	24	1	39	39	-3	102	114
27	27	-6	49	-33	8	23	-15
-19	-10	-7	-25	-15	-4	62	-18
59	7	14	16	16	38	-6	-27
-46	-21	-88	11	54	3	-18	-54
-40	-21	-21	-75	-76	39	-128	-52
17	2	-7	-50	-49	-37	-110	-27
21	13	11	-2	70	-5	48	37
-1	12	-1	16	-54	-9	42	-28
-67	5	2	27	44	-28	-19	48
24	-16	-78	-73	50	9	10	6
-18	-3	-5	-43	-34	-99	-61	41
-13	-44	-100	84	45	2	-13	-39
0	19	84	-23	-17	-2	25	7
40	14	32	-9	-34	26	23	-35
-21	2	33	4	-42	14	73	2
0	24	50	59	31	-37	-39	2
6	-23	-10	29	-9	-22	-67	0
-87	-39	-8	-22	-14	-5	27	-47
8	0	-24	-34	-42	-21	55	34
-66	-25	24	61	52	32	4	-71
9	5	32	64	26	30	-24	-8
-36	-28	-14	4	-21	2	-12	-88
115	75	33	56	61	-31	-4	111
-5	-17	-55	65	17	-64	-21	-6
19	14	9	-36	-42	15	86	50
-1	-8	-39	-90	18	1	48	-10
-12	-14	-61	31	91	14	-18	-67
-27	8	39	-45	-34	-8	44	-22
-17	-18	40	-107	-76	125	-43	-75
-65	-10	52	61	40	-14	-123	-107
-40	-3	-11	8	0	-12	-116	-12
86	7	46	40	12	-49	-18	82
-6	-24	-96	-100	92	-59	32	-21
77	6	-21	-18	-11	57	-49	-14
23	15	-31	-81	-49	23	51	52
-3	2	17	29	78	-48	91	34
35	33	4	-5	-59	-24	21	42
87	-1	-20	23	-25	16	-81	51
-31	2	34	-32	-60	-16	-8	-13
20	-20	-13	1	-3	7	-106	-8
-59	-17	15	-85	-16	-7	32	-38
-2	3	-20	24	56	7	42	-7
72	29	4	22	21	50	-6	-44
15	-14	-37	-14	9	2	7	31
-71	-9	38	-20	4	8	13	-21
-27	-12	-13	0	-24	13	-41	-46
-5	-12	-95	24	39	-9	-26	1
-17	-16	-16	-15	-55	21	-106	-107
4	3	-67	-91	-12	-10	5	-10
28	32	32	-20	-4	2	9	28
-57	-20	4	16	-16	89	-30	-119
-18	-32	-93	-26	53	-63	-67	-5
-6	0	-6	-29	-5	-44	-18	29
30	20	-2	27	-11	36	-25	49
-41	3	34	99	-54	-17	-10	-33
2	-3	-5	21	28	-5	11	8
10	-7	-12	-11	30	-68	68	9
-49	-26	-19	119	43	11	-82	-58
-33	-9	-19	-44	-30	-66	24	14
84	54	16	32	30	-49	-4	88
-16	-33	-25	106	124	56	3	-17
13	-3	-13	3	81	31	-63	-26
-128	-61	-116	-75	-20	38	-106	15
-38	-38	-128	0	1	-22	3	-67
-21	-5	-23	3	-4	-1	12	-48
-43	-9	18	17	-2	80	76	-88
25	5	-7	38	-7	25	-20	27
-4	-13	9	-22	-16	32	-122	-33
8	28	-14	-31	30	-59	-34	-15
40	5	12	12	-59	-75	3	19
-25	-10	-20	3	31	8	-46	-17
-38	-20	48	-58	-59	23	-76	-54
27	6	18	6	-46	-5	10	5
75	9	-3	2	18	4	-31	4
23	-14	-20	18	17	15	34	27
-53	-17	-6	-18	-82	-7	48	-35
32	-7	-13	24	4	27	71	23
-27	-25	-10	-30	-72	-22	-36	-43
-7	10	17	9	88	4	-3	-19
-15	-7	-8	-4	-32	-13	-21	-10
3	-1	5	-33	-94	-1	-35	4
-1	-5	2	-1	-21	-5	-9	-8
3	-4	0	1	-7	2	-13	-3
3	-1	-1	-3	-7	2	-5	-3
-2	19	11	3	11	4	-2	-1
6	-2	6	0	-17	1	-3	0
-7	-11	-32	-7	4	-3	-4	-3
-6	-1	3	-3	-1	-22	-1	-1
-2	6	11	3	4	-66	-2	0
0	0	3	-1	0	102	-2	0
1	0	1	-1	-1	18	-1	-2
-1	-15	-4	-1	0	-28	-2	-1
-3	-2	-4	0	0	-10	-2	-1
3	4	3	-3	-1	-5	-2	-1
1	0	-2	-1	-2	-2	1	-1
-7	-4	-12	-3	-1	-4	-3	-4
5	3	3	2	0	0	0	-1
-4	-3	-8	-2	0	0	-1	-1
-3	18	1	1	0	1	-1	-3
-9	-6	1	0	-1	-2	-3	0
-9	-1	-6	-3	-2	-5	0	-2
-2	19	6	1	1	-1	0	1
