0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
0	0	0	0	0	0	0	0
-1	-1	3	4	0	-4	-4	0
2	-3	-3	-5	0	0	-2	-1
-3	3	0	-2	-2	1	0	-1
-3	2	-3	-3	1	-1	-2	-1
1	0	-2	4	1	-3	-3	2
2	-1	0	-2	2	-2	-5	2
0	0	1	2	-2	0	-3	0
-3	-1	-1	-2	0	3	1	-2
0	1	0	-1	-1	-2	-2	-3
1	-1	0	1	2	-1	-2	-1
-1	-1	-3	-5	-3	-2	0	-1
-1	-2	-1	1	1	-2	1	1
0	-1	-4	-1	-5	-1	-1	0
0	3	-3	-1	-1	-1	-1	-1
0	0	-1	-3	1	-2	0	0
-1	-1	-1	-3	-3	1	1	-2
0	-2	-3	-5	0	-2	-1	-3
-2	1	1	1	2	2	-2	-1
1	4	0	-1	-1	-1	1	1
-1	0	-1	-1	-1	0	-2	-1
-2	-1	-1	0	-1	-3	-2	-2
0	-1	-2	0	5	-2	-2	-1
-1	-10	0	1	24	0	-1	-2
1	1	2	1	-1	-5	1	1
-2	1	-1	-1	-3	-5	-1	-1
-3	3	3	2	7	2	0	-4
1	-1	-1	-3	-21	-4	4	1
-1	-2	-2	-9	-26	-3	0	-3
-1	-6	-10	-21	-5	-7	-27	0
2	1	4	22	-15	-4	-41	16
9	12	7	88	22	69	89	22
-36	-10	3	0	-32	-38	-70	-6
-37	-14	-19	-32	2	35	44	-35
2	9	8	70	22	19	107	44
45	31	28	-54	-23	-128	-66	83
46	14	15	76	-4	-53	-67	38
-3	-2	43	-15	-7	73	88	-79
44	15	17	1	28	-55	106	32
36	21	82	-30	3	-25	67	91
20	-5	-16	29	28	16	44	72
-38	-24	19	54	-65	87	-127	-93
45	26	35	-11	-18	-111	108	120
-79	-41	-53	52	17	103	-16	-63
-6	7	87	56	-12	-24	-6	-17
22	-13	-43	23	8	25	-12	-28
64	98	-18	3	-1	38	45	41
-7	-15	-18	-25	-89	22	-4	0
28	1	5	-18	-14	-13	12	19
48	-12	-14	-14	-34	13	-8	-14
52	29	9	-9	-9	9	5	29
-6	-1	-4	9	11	-8	8	5
-3	4	-7	-4	-10	0	-6	-2
-1	-9	0	1	-3	-6	15	0
3	2	11	-4	4	-2	-2	1
-1	-3	5	-1	1	1	4	0
1	-2	7	-1	-3	-1	-3	-1
-2	-10	5	-1	0	-2	-1	1
2	1	0	-2	-4	-3	1	-1
-3	-2	-3	0	-1	1	0	0
0	0	-3	4	0	-1	-1	0
-1	2	5	3	-2	0	-2	-1
1	-1	-6	-8	-2	-3	-1	-1
-2	0	0	1	-1	0	-1	-1
1	-4	2	1	0	0	-2	0
-3	-2	-2	-1	0	-1	-3	-2
-2	0	1	-3	-2	-2	0	0
0	-2	-1	-5	1	-5	-3	1
-4	0	-2	0	0	-1	1	-3
-2	-4	-3	-3	-3	6	-1	-2
-3	-7	-10	-7	-5	7	-3	-4
-4	-2	0	-3	-2	10	0	-1
1	-2	-4	-3	-1	-3	0	-2
-2	1	1	-9	-15	4	-11	-8
3	-3	-5	-4	-18	-13	3	-3
11	-5	-20	-39	-39	-4	-35	25
-14	-16	-5	50	-23	-46	-96	-24
-13	0	30	57	15	20	-99	-104
48	30	27	55	7	21	127	106
12	17	-37	-90	-63	-118	49	89
-53	-24	-28	-10	-16	-61	-101	2
43	-5	-39	34	51	-96	25	21
31	21	-49	1	36	-39	103	32
-57	6	45	-1	64	23	-47	-113
27	-5	6	41	-24	17	-34	-34
-31	-4	72	17	-15	20	-16	-12
9	-2	15	3	103	64	15	-20
-79	-28	6	-15	-31	-13	-97	-110
-10	-31	-42	102	37	-31	4	-39
-9	-5	-30	-8	-30	-64	-71	-6
-21	-29	-14	-26	-30	17	-111	-113
-26	21	75	-75	-25	41	26	-2
-2	-22	-45	-10	-13	36	-41	44
10	11	18	-28	6	19	-5	7
-2	11	5	3	38	12	35	16
65	4	8	-14	7	-1	-4	1
2	18	1	3	-39	4	44	66
-18	-33	-4	11	81	4	-44	67
25	22	-5	21	63	-1	24	-24
-38	-4	6	37	82	-14	11	-26
37	14	-2	13	42	-2	-27	-14
16	-6	4	-6	5	-1	6	13
-25	-8	6	-1	-7	1	5	-8
1	-2	2	-5	2	-1	1	4
-3	4	-20	-3	-7	1	3	-3
-1	-1	1	-2	-10	-2	-1	-1
-6	-2	1	-2	-1	0	-3	-1
-2	-1	-3	-5	-3	-1	1	-3
2	0	-4	-4	-2	-1	-1	-1
6	-4	1	-2	0	2	0	-1
-3	1	-4	-3	-2	-3	-2	-2
2	1	-1	2	-2	-3	0	-1
-2	-6	-4	2	-1	-2	-2	-3
0	1	2	-3	-1	-1	-2	-2
2	-3	3	-1	-1	2	-1	-2
-1	3	-4	0	-1	-4	-1	-1
0	-5	1	-1	0	-1	-1	-2
-2	-4	-2	-1	-2	-2	-1	1
0	1	2	-2	-1	-4	0	-3
0	2	3	1	0	0	0	2
-1	-3	-11	-3	-1	-1	0	-3
-1	-2	-4	-2	-3	2	0	-2
-2	-3	1	0	0	-1	2	6
-2	4	3	2	0	0	-1	1
0	-1	-6	-2	-3	-3	0	-3
-1	-1	0	-5	-5	-1	-2	2
2	2	1	21	22	10	14	9
-5	-1	0	-16	-42	0	-46	0
3	12	-11	-28	-6	-32	-19	17
-14	-14	-8	61	20	22	-45	0
-22	-27	-54	105	127	15	7	16
1	-9	54	-18	-73	73	-52	-77
40	21	-67	27	1	-103	80	50
-36	-27	6	-80	-51	-124	94	-72
42	25	4	-5	-15	61	100	127
-56	-51	-12	-72	-37	63	77	-2
-103	-7	56	-70	70	24	-59	-117
15	2	0	-43	34	-36	-36	-4
-28	-17	-65	-38	-101	-19	-56	-5
-33	-8	64	20	-11	81	-22	-23
-8	18	55	28	0	94	92	59
-12	-8	1	-26	-27	-12	-66	-24
-7	-14	-27	-102	-16	-54	-102	-70
-13	-13	-8	3	2	-14	6	-27
-5	18	75	98	97	2	-44	-2
10	25	-63	18	45	-38	113	2
22	8	-39	-6	-1	4	4	67
-3	3	42	70	58	1	-16	-2
-73	-75	-9	1	7	-23	-13	22
4	41	-82	-22	15	-36	-30	-50
15	127	1	-16	89	39	-69	-24
-9	-120	12	-9	5	8	-7	-30
96	9	8	11	-91	-5	52	27
7	7	-8	-36	-87	-4	59	-34
-42	5	3	3	21	0	-30	3
-13	-14	5	-10	-8	3	-25	4
-9	0	2	-3	-4	2	-9	1
-14	-4	-16	-3	0	-4	-14	-4
-4	-4	0	-3	-2	2	-7	2
-2	-10	-1	0	-4	0	-4	-4
-2	0	-2	0	-1	1	-2	0
-3	-2	-7	-3	-2	-3	-4	-2
-5	1	-16	-4	-3	4	-2	-2
2	1	11	2	-2	-3	-2	1
0	2	2	0	1	1	-2	-1
-2	-3	-2	-2	-1	-1	-2	0
-2	-13	-15	-3	0	-2	-1	1
-2	-8	-8	-3	-2	-1	-36	5
0	0	-1	0	0	-4	0	-2
-3	-7	-5	0	-3	-1	2	-1
2	0	1	0	-1	-1	4	-1
-1	4	-4	-1	0	1	8	0
0	-4	-1	1	-1	3	-3	-3
-1	-5	-3	-1	0	-3	-3	0
-2	0	-6	0	0	-5	-1	-2
0	-3	1	-2	0	-2	27	-3
0	0	-3	-1	0	0	1	2
-1	-4	-5	-2	-2	1	-11	-3
0	-4	-2	0	-3	-2	-4	-2
31	2	0	1	-4	-3	0	14
-3	-5	0	-6	-17	1	-15	-1
-1	-6	-2	11	-1	-1	-4	1
-5	-5	-5	6	-8	12	42	0
-8	1	-7	-69	-3	1	-2	3
-25	-4	-5	-31	-4	11	33	-2
-36	-16	-74	-106	-24	45	-71	-62
7	-3	24	106	5	-128	106	30
21	-12	-40	29	-9	-16	62	21
-26	-17	14	12	-41	16	-89	-54
-25	-12	-12	-15	-4	-54	55	-28
0	-14	11	-81	-42	26	-42	15
-46	-16	1	-76	-42	45	-67	-49
-77	-34	-8	-73	9	91	-66	-88
-56	-21	20	20	35	-3	-80	-83
-6	-8	44	50	-11	-2	30	-7
-69	-25	-8	-37	-3	-1	10	3
55	0	-13	50	27	1	33	6
35	22	-70	-91	39	0	85	28
36	28	21	44	-1	-8	107	-43
21	30	89	-51	-6	1	16	65
-24	-30	-52	-38	-12	5	-19	-17
-111	-85	-14	34	13	0	-16	-2
24	15	15	42	-1	-3	15	22
6	16	-28	20	31	-6	24	31
27	12	-9	-13	5	1	-6	4
-27	-74	8	-8	-48	-4	90	-78
-14	14	-17	-9	-85	-1	-43	-21
